Chr	Start	End	Length	Strand	mESc.2i.RNA.DMSO.REP1	mESc.2i.RNA.DMSO.REP2	mESc.2i.RNA.DMSO.REP3	mESc.2i.RNA.RA.REP1	mESc.2i.RNA.RA.REP2	mESc.2i.RNA.RA.REP3
ENSMUSG00000001819	chr2	74506367	74509656	2483	+	44	48	51	48	19	39
ENSMUSG00000001823	chr2	74512986	74515763	2619	+	0	0	1	3	0	0
ENSMUSG00000001827	chr7	109006845	109019302	13699	-	1892	1611	1540	3700	751	2317
ENSMUSG00000001829	chr7	108812147	108943974	19822	+	2021	1870	1639	2030	495	1562
ENSMUSG00000001833	chr9	25056204	25116150	8720	+	3116	2859	2616	2863	940	1582
ENSMUSG00000001844	chr5	144078168	144090935	11859	-	369	310	336	306	59	232
ENSMUSG00000001847	chr5	144266346	144288904	5569	-	1963	1886	1603	1843	513	1200
ENSMUSG00000001855	chr2	31829956	31909495	20733	+	1931	2018	1567	1984	486	2318
ENSMUSG00000001864	chr2	31805780	31828962	7528	+	49	50	46	169	29	68
ENSMUSG00000001865	chr3	20115516	20142080	1452	-	0	0	0	0	0	0
ENSMUSG00000001870	chr17	75404908	75791852	26319	+	357	339	247	474	105	491
ENSMUSG00000001891	chr11	21221141	21271204	5779	-	633	563	611	594	155	371
ENSMUSG00000001901	chr11	105869438	105895863	12467	+	79	73	51	65	13	48
ENSMUSG00000001909	chr8	87210206	87223707	32607	+	3802	3536	2969	4097	796	3208
ENSMUSG00000001910	chr8	87194382	87211761	4300	-	4732	4174	4002	4515	937	3174
ENSMUSG00000001911	chr8	87223775	87324243	15807	-	80	80	72	72	33	109
ENSMUSG00000001918	chr7	17366695	17383623	14130	+	4815	4174	3641	4009	900	3073
ENSMUSG00000001924	chrX	20235452	20260305	11064	+	13808	12362	11779	9943	1915	6196
ENSMUSG00000001930	chr6	125496792	125636697	42426	+	480	450	328	146	39	156
ENSMUSG00000001942	chr9	37421432	37455903	3433	+	364	373	277	442	100	326
ENSMUSG00000001943	chr9	37346840	37351790	2950	+	23	20	22	78	14	63
ENSMUSG00000001946	chr9	37335663	37345904	4311	+	32	16	12	90	10	76
ENSMUSG00000001948	chr9	37410886	37421199	577	-	12	6	4	9	2	5
ENSMUSG00000001962	chrX	71558372	71565488	4785	+	730	629	548	391	112	299
ENSMUSG00000001964	chrX	71500026	71506887	6084	+	729	550	557	560	104	304
ENSMUSG00000001983	chr11	105927375	105934926	1383	+	196	130	135	124	24	95
ENSMUSG00000001985	chr4	125167944	125391417	16609	+	1446	1502	1147	1604	435	1784
ENSMUSG00000001986	chrX	38754031	39031778	33505	+	20	34	25	114	35	123
ENSMUSG00000001988	chr7	17041070	17062129	2091	-	1	3	0	4	0	3
ENSMUSG00000001995	chr8	127941963	128016610	12676	-	2632	2505	2195	1884	419	1624
ENSMUSG00000001998	chr2	126834453	126893645	17021	+	718	728	629	707	166	657
ENSMUSG00000001999	chr2	126896401	126922820	4725	+	179	159	184	147	32	84
ENSMUSG00000002006	chrX	71038698	71070308	7595	-	685	682	640	1635	295	969
ENSMUSG00000002007	chrX	71019744	71024264	5708	+	2	3	2	3	0	3
ENSMUSG00000002010	chrX	71024302	71032236	9488	-	2714	2517	2319	2694	508	1467
ENSMUSG00000002012	chrX	70901333	70905456	6271	-	51	44	34	52	13	40
ENSMUSG00000002014	chrX	71032367	71036169	8523	+	1212	1099	1052	1193	232	728
ENSMUSG00000002015	chrX	70931517	70961514	1219	-	2279	2048	1930	2746	617	1591
ENSMUSG00000002017	chr17	75936426	75951286	4101	-	638	550	487	552	130	386
ENSMUSG00000002020	chr12	86124162	86217482	32679	-	27	23	16	29	3	24
ENSMUSG00000002028	chr9	44611438	44689379	43472	-	2001	2604	1430	2528	962	4301
ENSMUSG00000002031	chr9	44575991	44600797	11405	+	1434	1344	1161	1389	306	1037
ENSMUSG00000002032	chr9	44601858	44607390	13094	-	9	16	21	22	2	8
ENSMUSG00000002033	chr9	44777655	44788514	1729	-	239	236	193	48	17	25
ENSMUSG00000002043	chr7	20094019	20101494	4349	+	190	159	160	123	14	77
ENSMUSG00000002052	chr11	78020248	78059489	10344	-	3747	3693	2795	3620	796	3131
ENSMUSG00000002055	chr11	78115031	78135959	11480	+	2751	2402	2227	2673	602	1737
ENSMUSG00000002057	chr11	78171079	78200060	3214	-	8	5	4	7	1	11
ENSMUSG00000002058	chr11	78156984	78162666	7342	+	302	287	270	231	51	153
ENSMUSG00000002059	chr11	78001932	78005695	8008	+	247	205	233	288	58	169
ENSMUSG00000002064	chr11	78059248	78068998	4085	+	489	465	443	625	118	392
ENSMUSG00000002068	chr7	38883003	38892553	4327	-	1456	1212	1246	2062	497	1098
ENSMUSG00000002076	chr17	32081714	32171453	4075	-	1592	1392	1352	1362	297	919
ENSMUSG00000002083	chr7	16894965	16903554	3180	+	161	147	167	156	38	118
ENSMUSG00000002100	chr2	90958301	90976673	16614	+	72	50	52	36	7	31
ENSMUSG00000002102	chr2	90894166	90906526	8457	+	6015	5441	5173	4896	999	2803
ENSMUSG00000002103	chr2	91043042	91054255	12799	+	564	558	495	560	130	449
ENSMUSG00000002104	chr2	90875777	90885886	5200	+	139	146	140	84	16	38
ENSMUSG00000002105	chr2	90901948	90910574	13166	-	194	200	172	177	40	123
ENSMUSG00000002107	chr2	6460751	7002348	49312	-	231	164	151	106	30	113
ENSMUSG00000002108	chr2	91024218	91042991	11708	-	31	27	22	11	6	14
ENSMUSG00000002109	chr2	91051729	91077139	10485	-	376	330	267	340	70	231
ENSMUSG00000002111	chr2	90922547	90955913	3593	+	31	23	28	6	3	7
ENSMUSG00000002129	chr11	4060353	4082544	7826	+	3446	3354	2882	2629	562	2029
ENSMUSG00000002147	chr10	127080042	127098013	7526	+	823	690	671	758	124	495
ENSMUSG00000002190	chr8	85913766	85952451	6195	+	142	130	105	524	115	355
ENSMUSG00000002204	chr7	51827802	51842232	2995	+	1	1	2	1	0	4
ENSMUSG00000002205	chr7	52003783	52032885	8116	+	379	359	330	363	77	265
ENSMUSG00000002210	chr7	25184638	25207797	7585	+	426	419	341	354	66	287
ENSMUSG00000002221	chr5	28067207	28117879	5052	-	1912	1684	1558	1224	287	981
ENSMUSG00000002222	chr6	71338628	71390631	14685	-	2749	2531	2413	2638	674	1794
ENSMUSG00000002227	chr3	104597754	104621481	22923	-	2980	2756	2354	2236	448	1637
ENSMUSG00000002228	chr3	104583974	104588936	1721	+	188	119	138	663	110	370
ENSMUSG00000002233	chr3	104591929	104597377	3007	+	217	201	159	477	101	271
ENSMUSG00000002240	chr5	88254711	88275411	2637	+	0	0	0	0	0	0
ENSMUSG00000002249	chr17	28468616	28487750	17656	-	113	106	89	165	31	150
ENSMUSG00000002250	chr17	28369699	28438414	9067	+	199	211	145	184	53	225
ENSMUSG00000002257	chr17	28344723	28365553	3784	+	470	407	360	577	117	380
ENSMUSG00000002265	chr7	6656603	6683132	21430	-	4256	3742	3158	3900	892	2844
ENSMUSG00000002266	chr7	6628154	6649161	6314	-	11	13	13	23	8	30
ENSMUSG00000002274	chr17	25931516	25934081	2350	-	315	250	288	308	41	186
ENSMUSG00000002279	chr17	25716119	25799771	27293	+	390	424	296	445	103	468
ENSMUSG00000002280	chr17	25910721	25920277	9161	+	621	538	517	608	118	356
ENSMUSG00000002289	chr17	33910695	33918520	6026	-	554	517	498	702	131	372
ENSMUSG00000002290	chr19	7471991	7473611	1546	-	5	2	1	1	0	2
ENSMUSG00000002297	chr5	8396973	8422716	13099	-	4370	4036	3853	4290	1241	2630
ENSMUSG00000002307	chr17	34046359	34052534	13472	+	1630	1419	1349	1599	287	983
ENSMUSG00000002308	chr17	33980036	33986719	3892	+	656	598	528	705	134	458
ENSMUSG00000002319	chr14	56244237	56256732	20244	-	1805	1659	1565	1853	395	1459
ENSMUSG00000002320	chr14	56254802	56262643	21080	-	676	653	546	656	126	440
ENSMUSG00000002324	chr14	56236874	56244232	3760	+	211	177	188	151	32	127
ENSMUSG00000002325	chr14	56222408	56228867	13056	+	472	454	423	276	42	178
ENSMUSG00000002326	chr14	56291072	56297587	1543	+	258	230	188	238	62	132
ENSMUSG00000002329	chr14	56276716	56279345	1733	-	689	558	552	564	118	317
ENSMUSG00000002332	chr14	56357857	56364527	4964	-	437	373	327	311	82	198
ENSMUSG00000002341	chr8	72616984	72644772	7195	-	50	52	30	118	26	102
ENSMUSG00000002342	chr8	72696255	72707580	13193	+	838	805	691	875	152	541
ENSMUSG00000002343	chr8	72744071	72758365	6682	-	566	550	431	575	112	369
ENSMUSG00000002345	chr8	72663398	72691387	9039	+	409	387	422	400	69	247
ENSMUSG00000002346	chr8	72708239	72736204	16779	-	145	159	114	213	47	219
ENSMUSG00000002365	chr17	5841346	5931946	3306	+	601	513	505	517	118	356
ENSMUSG00000002372	chr17	56812680	56851192	2479	+	2159	1972	1936	2217	379	1402
ENSMUSG00000002379	chr17	56857185	56863671	2661	+	1110	945	912	920	156	504
ENSMUSG00000002384	chr4	122782408	122809342	4266	+	26	22	18	58	10	51
ENSMUSG00000002393	chr8	73898022	73905859	6931	-	284	281	291	342	87	235
ENSMUSG00000002395	chr8	73890747	73893631	9668	+	1854	1598	1629	1635	311	932
ENSMUSG00000002396	chr8	73895197	73903260	9443	+	139	119	132	98	25	73
ENSMUSG00000002409	chr7	28964488	28972313	11638	+	135	128	108	84	19	119
ENSMUSG00000002413	chr6	39553236	39675462	18586	-	1494	1386	1150	2202	626	1693
ENSMUSG00000002416	chr6	39542573	39553381	7502	+	459	444	404	445	99	237
ENSMUSG00000002428	chr3	19957811	20018376	18277	+	1613	1473	1398	1418	440	937
ENSMUSG00000002455	chr2	181326573	181390365	8907	+	2913	2617	2304	2526	512	1621
ENSMUSG00000002458	chr2	181423124	181428682	11433	-	222	179	206	254	46	152
ENSMUSG00000002459	chr1	4899657	5060366	9499	-	7	5	9	28	9	29
ENSMUSG00000002475	chr18	10644409	10706769	6905	-	22	13	18	21	3	20
ENSMUSG00000002477	chr18	10617794	10628228	837	+	1496	1240	1224	1239	328	666
ENSMUSG00000002486	chr5	115157769	115172336	9851	+	336	300	256	300	60	227
ENSMUSG00000002489	chr16	89787356	90144014	42124	-	1284	1166	995	754	200	709
ENSMUSG00000002496	chr17	24732882	24769574	44866	-	2329	2218	1732	2224	574	2174
ENSMUSG00000002500	chr17	24864774	24873094	2411	+	25	16	14	19	6	11
ENSMUSG00000002504	chr17	24776227	24787250	5839	-	503	406	462	454	98	290
ENSMUSG00000002524	chr15	75900614	75911376	3773	-	2580	2304	2121	2146	423	1221
ENSMUSG00000002546	chr2	32142904	32163441	35833	+	1112	986	860	919	177	635
ENSMUSG00000002550	chr2	32110522	32115679	7160	-	552	486	449	618	120	393
ENSMUSG00000002565	chr12	40786356	40860815	7560	-	5	5	0	6	2	7
ENSMUSG00000002578	chr10	128067899	128083047	18290	-	33	40	24	48	17	46
ENSMUSG00000002580	chr11	98299022	98300305	747	-	352	270	294	262	45	126
ENSMUSG00000002588	chr6	5118090	5143946	4421	-	0	0	0	0	0	0
ENSMUSG00000002602	chr7	26542292	26573724	17723	-	67	57	48	37	5	26
ENSMUSG00000002603	chr7	26472021	26490096	3370	+	22	22	17	37	13	37
ENSMUSG00000002608	chr7	26496125	26504107	8427	-	361	334	251	279	60	377
ENSMUSG00000002617	chr17	23310836	23330219	11498	-	211	237	249	221	86	130
ENSMUSG00000002625	chr17	32458370	32487540	4062	-	1037	911	736	1047	236	771
ENSMUSG00000002633	chr5	28783355	28793641	2692	-	1	0	0	3	0	1
ENSMUSG00000002635	chr7	34969518	34981680	2579	-	736	727	673	715	137	395
ENSMUSG00000002658	chr17	57142826	57150723	2641	-	1793	1537	1380	1410	286	778
ENSMUSG00000002660	chr17	57129687	57135794	1207	+	1169	988	1020	918	154	530
ENSMUSG00000002661	chr17	57136762	57138745	2177	+	309	280	331	295	46	158
ENSMUSG00000002664	chr17	57138880	57139441	474	-	0	1	0	0	0	0
ENSMUSG00000002668	chr17	57205479	57217933	2520	-	39	33	32	19	3	11
ENSMUSG00000002679	chr12	82674544	82695995	4678	-	659	627	645	617	154	348
ENSMUSG00000002688	chr12	51442218	51750210	3778	-	35	50	35	44	15	36
ENSMUSG00000002699	chr11	33946920	33992295	10185	+	2	2	0	0	0	1
ENSMUSG00000002718	chr2	166731540	166771889	18026	+	6804	6050	6075	5877	1770	3775
ENSMUSG00000002728	chr2	145727835	145742161	6982	+	728	673	614	615	177	319
ENSMUSG00000002731	chr2	76467955	76486072	2320	-	90	65	64	75	25	55
ENSMUSG00000002732	chr2	76501101	76511173	2728	-	33	27	32	26	9	30
ENSMUSG00000002733	chr2	76513338	76534885	3286	+	686	568	519	436	123	308
ENSMUSG00000002741	chr11	5855696	5867783	3332	+	1298	1069	1042	1102	214	655
ENSMUSG00000002748	chr5	135663134	135721999	13849	+	7263	6959	5648	7930	2046	5875
ENSMUSG00000002763	chr17	46848412	46862490	8587	+	399	284	329	323	59	260
ENSMUSG00000002767	chr17	46783178	46787088	3666	+	1447	1355	1305	1119	220	609
ENSMUSG00000002768	chr17	46818086	46820054	840	+	603	573	483	498	95	309
ENSMUSG00000002769	chr17	46862613	46866117	1890	-	22	28	26	31	8	29
ENSMUSG00000002771	chr7	53087253	53126298	10153	-	14	14	17	27	1	26
ENSMUSG00000002778	chr7	53128142	53139101	5112	+	1265	1052	1071	1001	210	624
ENSMUSG00000002781	chr7	53152311	53172783	15026	+	274	255	236	234	41	156
ENSMUSG00000002791	chr17	32213028	32237231	3218	-	7	4	2	5	0	0
ENSMUSG00000002797	chr6	54932574	54942944	5303	-	366	365	319	290	74	194
ENSMUSG00000002799	chr12	114146801	114167706	4054	-	219	173	155	359	74	265
ENSMUSG00000002803	chr12	114214693	114217141	4032	+	202	159	205	148	41	101
ENSMUSG00000002804	chr12	114172944	114180329	793	-	111	110	98	83	13	44
ENSMUSG00000002808	chr13	19683578	19711699	2386	-	121	136	118	119	32	95
ENSMUSG00000002812	chr11	60527625	60540765	6006	-	1715	1464	1448	1228	227	740
ENSMUSG00000002814	chr11	60553560	60590867	15998	-	1048	1011	919	828	153	690
ENSMUSG00000002820	chr9	21069743	21078812	2541	+	879	714	712	909	173	735
ENSMUSG00000002825	chr9	21216281	21224721	1319	+	1121	1035	993	1340	245	904
ENSMUSG00000002831	chr17	56240014	56249225	5755	-	13	6	7	14	5	13
ENSMUSG00000002833	chr17	56219057	56240019	4548	+	2320	1899	1704	1894	380	1246
ENSMUSG00000002835	chr17	56179827	56206973	2844	+	1798	1641	1260	1348	303	1078
ENSMUSG00000002844	chr16	38445479	38452769	1583	-	2303	2196	2075	2530	489	1593
ENSMUSG00000002845	chr16	38558811	38592275	13713	+	4584	4469	3670	4909	1106	3419
ENSMUSG00000002846	chr16	38498429	38522747	2251	-	444	410	402	457	92	363
ENSMUSG00000002847	chr16	38396205	38433225	1972	-	643	642	567	429	112	256
ENSMUSG00000002870	chr6	88833469	88848774	3370	-	10157	9191	8866	7761	1700	4837
ENSMUSG00000002871	chr6	88852245	88862232	11889	+	298	263	229	273	50	213
ENSMUSG00000002881	chr1	52514138	52557523	6471	-	228	197	196	348	98	253
ENSMUSG00000002885	chr8	86247150	86265225	14204	-	4164	3772	3441	6576	1472	4651
ENSMUSG00000002897	chr6	120413215	120433745	3970	+	134	152	124	170	29	119
ENSMUSG00000002900	chr12	31950099	32014509	23732	+	639	621	472	1088	226	703
ENSMUSG00000002908	chr8	73365948	73380907	12013	-	114	89	84	68	17	64
ENSMUSG00000002910	chr8	73359054	73363619	4391	-	340	195	186	298	55	151
ENSMUSG00000002930	chr6	55967509	55982682	1738	+	1	0	0	1	0	3
ENSMUSG00000002944	chr5	17287508	17394777	13957	-	1	2	1	0	0	1
ENSMUSG00000002948	chr8	4238740	4251423	22711	+	1514	1434	1205	1401	300	970
ENSMUSG00000002949	chr8	4259731	4275913	11317	-	2223	1958	1824	1940	441	1248
ENSMUSG00000002957	chr7	148748079	148818910	4639	+	4045	3311	3237	3338	655	2209
ENSMUSG00000002963	chr7	52112509	52118295	15131	+	969	912	847	814	155	512
ENSMUSG00000002968	chr7	52134761	52147779	7086	-	935	850	842	794	162	599
ENSMUSG00000002980	chr7	20341480	20356365	5333	-	2530	2310	2177	5513	944	3402
ENSMUSG00000002981	chr7	20216930	20250379	4130	-	2511	2247	2160	2182	409	1431
ENSMUSG00000002983	chr7	20191566	20214787	20091	-	542	433	458	187	28	122
ENSMUSG00000002984	chr7	20286662	20300787	6970	-	3549	3046	3205	3071	545	2038
ENSMUSG00000002985	chr7	20281458	20284515	8642	-	7431	6766	6616	5082	1237	3116
ENSMUSG00000002992	chr7	20256928	20266772	3011	-	15	14	19	12	2	4
ENSMUSG00000002996	chr12	32611119	32635400	18707	-	1212	1145	1036	1192	307	784
ENSMUSG00000002997	chr12	32643341	32746161	8168	-	52	56	46	48	17	25
ENSMUSG00000003031	chr6	134870419	134875531	6945	+	884	776	671	533	162	325
ENSMUSG00000003032	chr4	55540013	55545347	7450	-	2115	2126	1866	1213	377	1121
ENSMUSG00000003033	chr8	74763917	74781284	5429	+	1168	988	905	761	166	614
ENSMUSG00000003037	chr8	74685099	74707803	6653	+	1898	1747	1621	1352	285	843
ENSMUSG00000003038	chr4	133520653	133524565	11154	-	859	753	683	702	176	398
ENSMUSG00000003039	chr8	74743629	74747663	1910	+	1626	1440	1412	1455	282	780
ENSMUSG00000003051	chr1	137150151	137155049	2000	-	2102	1693	1593	850	172	549
ENSMUSG00000003053	chr19	39315441	39405203	8077	+	16	9	14	8	1	10
ENSMUSG00000003062	chr13	19449546	19487621	1283	-	927	794	877	690	176	368
ENSMUSG00000003068	chr10	79578548	79593427	15170	+	1129	1087	938	1124	230	841
ENSMUSG00000003070	chr10	79642227	79652755	2131	+	82	62	56	74	15	31
ENSMUSG00000003072	chr10	79601377	79608563	3995	+	1683	1349	1429	1184	273	767
ENSMUSG00000003099	chr7	17589989	17613273	9419	-	1200	1016	982	1016	272	731
ENSMUSG00000003119	chr11	98064373	98139818	27194	+	4502	4571	3648	4854	1353	3894
ENSMUSG00000003123	chr7	26164546	26183729	10841	-	237	196	204	286	57	196
ENSMUSG00000003131	chr9	45773394	45792954	7382	-	1732	1615	1435	1545	418	1091
ENSMUSG00000003134	chr1	39428344	39535592	4436	-	641	554	521	353	88	295
ENSMUSG00000003135	chr1	39591837	39603726	8733	+	1171	1081	1175	826	206	524
ENSMUSG00000003153	chr6	122677827	122751658	13832	-	36935	30957	28177	41319	9173	23372
ENSMUSG00000003154	chr6	122769932	122795384	5283	+	155	150	126	133	34	111
ENSMUSG00000003161	chr5	8046078	8069379	7437	+	240	239	186	205	46	127
ENSMUSG00000003166	chr16	17839575	17894238	27285	-	988	959	880	928	177	726
ENSMUSG00000003178	chr6	120951381	121031627	6019	-	604	557	424	553	147	590
ENSMUSG00000003184	chr7	52253018	52258218	11541	+	850	743	637	777	155	459
ENSMUSG00000003190	chr7	52246592	52254082	5282	-	304	232	239	216	43	165
ENSMUSG00000003198	chr17	56031607	56038007	1620	+	156	154	172	156	40	101
ENSMUSG00000003199	chr17	56145134	56156213	9425	+	1161	1060	1009	834	170	542
ENSMUSG00000003200	chr17	56156176	56176058	2070	-	1135	989	1089	936	200	522
ENSMUSG00000003206	chr17	56092046	56096444	1170	+	5	8	4	7	0	4
ENSMUSG00000003208	chr17	56098610	56107372	1311	+	178	184	125	177	30	113
ENSMUSG00000003226	chr10	57909600	57956903	9477	+	14188	12950	12263	15001	4346	8746
ENSMUSG00000003227	chr10	58063537	58138402	3637	-	2	1	0	0	0	0
ENSMUSG00000003228	chr19	60965652	61168456	3165	+	74	86	62	70	16	65
ENSMUSG00000003233	chr16	20517055	20532593	10246	+	198	241	165	203	58	325
ENSMUSG00000003234	chr16	20548650	20561452	6151	+	1246	1030	941	1084	261	803
ENSMUSG00000003235	chr16	20498890	20510028	4007	+	10090	8814	8717	6576	1389	3765
ENSMUSG00000003269	chr7	53062007	53069951	12331	-	1299	1078	1079	998	235	592
ENSMUSG00000003271	chr7	52985353	53014982	3801	-	42	33	26	18	3	9
ENSMUSG00000003273	chr7	52955213	52960052	3149	+	64	61	41	59	13	38
ENSMUSG00000003279	chr17	70318413	71170753	61882	+	110	81	91	66	15	32
ENSMUSG00000003282	chr4	3828143	3865570	9944	-	501	549	456	592	192	442
ENSMUSG00000003283	chr2	152934204	152977177	4184	+	188	141	143	84	18	64
ENSMUSG00000003299	chr9	20807181	20813279	1285	+	1167	989	1004	1012	193	606
ENSMUSG00000003308	chr9	21034174	21043776	7904	-	836	657	602	594	123	407
ENSMUSG00000003309	chr9	21099901	21116777	3470	-	125	89	96	98	21	71
ENSMUSG00000003316	chr8	113678321	113783116	15535	-	7537	7141	6098	9010	2300	7706
ENSMUSG00000003341	chr10	79982330	80001869	8757	-	21	20	19	30	7	19
ENSMUSG00000003344	chr10	80105362	80119816	8839	-	851	739	697	618	137	484
ENSMUSG00000003345	chr10	80085525	80103516	6101	+	1643	1237	1404	1241	265	789
ENSMUSG00000003346	chr10	80046394	80053086	2711	-	710	593	692	478	103	314
ENSMUSG00000003348	chr10	80148001	80164565	2644	-	246	191	221	203	41	134
ENSMUSG00000003352	chr15	98462651	98474961	5489	+	423	418	371	532	108	409
ENSMUSG00000003354	chr15	98538625	98553757	3152	+	9	3	15	8	4	8
ENSMUSG00000003355	chr15	98554804	98558629	731	-	190	150	162	242	53	158
ENSMUSG00000003360	chr15	98475565	98493320	11415	-	2694	2375	2126	2021	390	1270
ENSMUSG00000003363	chr7	28317019	28338237	7955	-	1011	909	776	852	182	600
ENSMUSG00000003378	chr7	25794872	25857388	3836	-	69	64	75	59	20	112
ENSMUSG00000003379	chr7	25682400	25687216	1457	+	9	4	5	5	1	7
ENSMUSG00000003380	chr7	25754769	25757747	1691	-	699	562	616	498	89	308
ENSMUSG00000003382	chr3	87329329	87344078	27792	+	676	561	541	597	116	371
ENSMUSG00000003402	chr9	21807479	21818663	4005	+	3796	3432	2974	3424	610	2169
ENSMUSG00000003410	chr9	21819449	21856467	5027	-	31	38	28	142	28	135
ENSMUSG00000003411	chr4	108551668	108615929	5890	+	95	88	67	118	30	73
ENSMUSG00000003418	chr2	13572647	13715435	11464	-	437	432	377	612	220	461
ENSMUSG00000003420	chr7	52348363	52359192	1738	-	600	443	492	524	105	339
ENSMUSG00000003421	chr7	52317799	52333873	7585	+	829	802	761	671	151	422
ENSMUSG00000003423	chr7	52409673	52415439	6109	+	790	660	637	616	83	378
ENSMUSG00000003429	chr7	52377757	52379766	1187	-	11852	10427	10389	9974	1786	4602
ENSMUSG00000003435	chr7	29099917	29123738	3509	-	4736	4301	3753	3961	610	2600
ENSMUSG00000003436	chr7	29076673	29087257	8115	-	17	29	22	34	8	27
ENSMUSG00000003437	chr7	29177970	29184407	8771	+	1042	834	856	951	170	504
ENSMUSG00000003438	chr7	29090535	29097091	5698	-	1453	1266	1276	1211	200	757
ENSMUSG00000003444	chr7	29171165	29177727	1281	-	458	425	413	452	90	314
ENSMUSG00000003452	chr6	149357506	149511851	27411	+	434	439	386	641	209	482
ENSMUSG00000003458	chr1	173996144	174012926	11091	-	1778	1618	1386	1634	343	1209
ENSMUSG00000003464	chr1	174056886	174066624	7225	+	1516	1353	1341	1428	241	870
ENSMUSG00000003469	chr14	70857283	70868639	3196	+	36	29	23	17	5	12
ENSMUSG00000003476	chr6	55040043	55083010	13013	-	17	16	27	11	6	12
ENSMUSG00000003477	chr6	55120620	55125037	1996	-	0	0	0	0	0	0
ENSMUSG00000003484	chr8	74512381	74533525	2854	-	1	1	2	3	1	2
ENSMUSG00000003500	chr6	29150434	29166364	16079	-	1028	873	850	961	224	788
ENSMUSG00000003505	chr7	18931157	18940356	3496	-	0	0	0	0	0	0
ENSMUSG00000003518	chr11	101832457	101848327	18379	-	189	170	151	228	63	166
ENSMUSG00000003526	chr16	18060450	18090296	7755	-	449	371	341	409	65	254
ENSMUSG00000003527	chr16	17900804	17911441	2819	-	499	423	403	418	78	247
ENSMUSG00000003528	chr16	17925304	17928312	5079	-	1109	877	916	701	171	439
ENSMUSG00000003531	chr16	18052953	18071725	9131	+	183	166	145	133	31	77
ENSMUSG00000003534	chr17	35818512	35841566	26288	-	275	231	255	367	58	273
ENSMUSG00000003541	chr17	35958629	35959868	1131	+	101	56	57	47	8	27
ENSMUSG00000003545	chr7	19888070	19895394	3751	-	3	3	4	0	0	1
ENSMUSG00000003546	chr17	46767574	46782104	3429	-	365	311	281	324	64	212
ENSMUSG00000003549	chr7	19930127	19941873	7493	+	556	551	547	480	102	297
ENSMUSG00000003555	chr19	46741655	46747464	2761	-	1	0	1	0	0	0
ENSMUSG00000003559	chr19	46781933	46815585	1751	+	294	228	245	370	73	230
ENSMUSG00000003573	chr8	72806726	72818260	11174	+	776	740	622	677	144	480
ENSMUSG00000003575	chr8	72906254	72963478	17845	-	177	222	163	195	56	308
ENSMUSG00000003581	chr11	4035205	4041175	3754	+	222	228	149	217	53	136
ENSMUSG00000003585	chr11	3997042	4023418	7216	-	208	163	149	142	25	104
ENSMUSG00000003604	chr2	112333121	112474730	7207	+	845	787	810	1082	282	868
